order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Asparagales,Asparagaceae,Polygonatum,Polygonatum biflorum,NA,17.88211397,NA,2,21.2698,NA,NA,NA,NA
Caryophyllales,Polygonaceae,Polygonella,Polygonella articulata,NA,NA,NA,0.3,0.69,NA,NA,NA,NA
Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia,2105.85,39.18136493,53.07333384,0.360642605,2.617,NA,0.223376696,0.212919389,0.212919389
Caryophyllales,Polygonaceae,Persicaria,Persicaria thunbergii,NA,NA,NA,0.2,NA,NA,NA,NA,NA
Caryophyllales,Polygonaceae,Fallopia,Fallopia cilinode,2949.19,NA,30.18347416,NA,NA,NA,NA,NA,NA
Caryophyllales,Polygonaceae,Fallopia,Fallopia convolvulus,619.98,17.39549942,30.89808055,0.659549499,3.9717,NA,0.17925619,0.189800243,0.189800243
Caryophyllales,Polygonaceae,Persicaria,Persicaria hydropiper,1488.53,38.47376623,23.11463297,0.63879213,1.7675,NA,0.194541633,0.197809816,0.197809816
Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia,3782.96,35.01686265,45.69740523,0.595095986,1.6418,NA,0.213753034,0.20787659,0.20787659
Caryophyllales,Polygonaceae,Persicaria,Persicaria pensylvanica,NA,NA,NA,NA,6.13,NA,NA,NA,NA
Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa,1429.26,11.98783704,45.96906007,0.396136175,2.0441,NA,0.252416794,0.2281364,0.2281364
Caryophyllales,Polygonaceae,Persicaria,Persicaria sagittata,840.4,20.66411344,18.17283649,0.833496409,2.5633,NA,0.188737082,0.194768231,0.194768231
Caryophyllales,Polygonaceae,Fallopia,Fallopia scandens,155.63,16.13,32.41395488,0.30362424,0.1,NA,0.15796189,0.178642031,0.178642031
Caryophyllales,Polygonaceae,Polygonum,Polygonum tenue,NA,NA,NA,0.4,1.81,NA,NA,NA,NA
Malpighiales,Salicaceae,Populus,Populus balsamifera,2774,17.56593597,72.75577005,18.33734857,1.0156,0.38340579,NA,NA,0.38340579
Malpighiales,Salicaceae,Populus,Populus deltoides,8400,21.92727922,86.37819851,33.1175808,0.9918,0.423090397,NA,NA,0.423090397
Malpighiales,Salicaceae,Populus,Populus grandidentata,4813.78,23.75772843,52.38105803,16.20948739,0.1369,0.429689699,NA,NA,0.429689699
Malpighiales,Salicaceae,Populus,Populus tremuloides,2066.58,20.80417917,69.52013404,16.70656374,0.117,0.382101601,NA,NA,0.382101601
Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea,47.55,19.29,63.75064859,0.103987738,0.1418,NA,0.1,0.14827,0.14827
Rosales,Rosaceae,Potentilla,Potentilla argentea,275.33,NA,63.62215735,0.253983874,0.0838,NA,0.319577108,0.263328405,0.263328405
Rosales,Rosaceae,Drymocallis,Drymocallis arguta,NA,18.9,95.23809524,0.91,0.1379,NA,NA,NA,NA
Rosales,Rosaceae,Potentilla,Potentilla norvegica,1673.94,19.28508367,47.04702071,0.512533711,0.1,NA,0.312646019,0.259696514,0.259696514
