"","Year","Plot","Subplot","Treatment","FertTrt","Species","Mass.g.m.2."
"422",2010,7,"na","AllPesticides","n","Ambrosia artemisiifolia elatior",5.05
"423",2010,7,"na","AllPesticides","n","Aristida basiramea",0.4
"424",2010,7,"na","AllPesticides","n","Carex sp.",0.5
"425",2010,7,"na","AllPesticides","n","Cyperus sp.",5.65
"426",2010,7,"na","AllPesticides","n","Koeleria cristata",17.1
"427",2010,7,"na","AllPesticides","n","Panicum perlongum",0.65
"428",2010,7,"na","AllPesticides","n","Poa pratensis",5.25
"429",2010,7,"na","AllPesticides","n","Rhus glabra",11.5
"430",2010,7,"na","AllPesticides","n","Solidago nemoralis",15.55
"431",2010,7,"na","AllPesticides","n","Sorghastrum nutans",30.85
"432",2010,8,"na","Control","n","Agrostis scabra",0.05
"433",2010,8,"na","Control","n","Ambrosia artemisiifolia elatior",4.05
